Original Link,Resolved CID
Tennis,bafybeicnslg6qytlyu7begfitjzaq7qfuy5ptg5jpbzgo7dl2m73jqyjvm
Motorcycle_sport,bafkreibwj4rkqf3abhrp4dflbtguxiognxlhdxcsk6kqvkrj2kluq5pzja
Architecture,bafkreicc2cshwe6bshig26jonbzloyypbhc22qpmf2plkq32ncd6f4acve
Wikimedia_Foundation,bafybeifl5wout32lhdr7soeuowasd7mzqnmeon5472or4bgh56ek4lwmnm
Martial_arts,bafkreid5mw5xa23iufl7qfqbjrdmvorw2dokfg6myugfify4f555ekf64i
British_Empire,bafybeidzal4umxqa7umpl7djtl25qpdnkxrdywaewsa776uvhoqxppfs5i
History_of_Japan,bafybeibyttw6doftqd3ce5njh26nftstq5nmdx2f5ahl2lcqwbelcjyg7e
Biography,bafkreiabbn4qbe6jnljoyb42j47px7jp53fh4pjflea42ndkhmm4gfl2ua
Commonwealth_Games,bafybeifj6p66tdooqtczydvz2achnmv47exyxrkl5gik6kivjr5vtiayfu
Biotechnology,bafkreifvlakudnv6tvn7x6qky5b72yt7epoebg4uhv62czlz6shmu6c5ze
Gastronomy,bafkreid3raeaeaa7aoyfarerrcov4hqi5nejvt6gj53zda2b36ki7t6ktm
Human_rights,bafybeigg2gb2rmynwef6jy5rlkxewitd2n3fzztgm2hfke7gcljwyrpt6m
North_America,bafybeifoanztiwsapipqjda4fe44dgqkamfuccegxp2tys6vd6iuumsjzy
Russian_Empire,bafybeiewp2d4wvhhhiy2pnlscm4jvah764jn472cyjpt6ovqu6632n7tj4
Africa,bafybeicysbsujtlq2d7ygbab47lywcb7vehx64zwv4etis6hom45iorjwm
Indian_independence_movement,bafybeifhx4g7fzvzo63m4wzfnhowl7gxgjnw6durc4p7v475mtluf5gjge
Middle_East,bafkreidpf3g2m4dkb3o5azlr5sqc2nttrwtpr7n2nkuiv4v3xf5wofqu2q
Community,bafybeicdi3jnwjuxpgaibvnkti4q323dpcyn2ywq4ichbr46ozxrqbzaq4
Poetry,bafybeifxzybzddritaeg5ew62ezazsd6pzk3crfoxea2h4cshno77y4niy
Education,bafybeidzsa2ep2cdyjbkuxrbbasw4tnijgttqvjgcy2vnhdue4laia342e
Seljuk_Empire,bafybeifb6o2xru54blmmmpxxnpjc3nlxhv5li6u3m2gygb75ec2u3bkvbq
Oceania,bafybeidpak543d3t4bm3sma2q6s4rdrxsech7yfs36mephn5uv4ryxoxny
Colonialism,bafybeihhnw6mtx3zh6lamqtju5myxrisiwuv5jf7zr6mkf5xlvryauzo64
Aviation,bafybeiguutd2s2mnfyqacv2ibyxxoopbz5e4p7pavoohd6vgu4j3b2xria
Rugby_league,bafkreihc3koc65musc5uy4i4yj47rwmrdmpjcislr6q3qhmkbiedb5gfje
Reference_work,bafkreifgzgb7z37xo6c5khmthcd56hpsajwe3p4was4rmnkgpevglarcoe
Films,bafkreiewfljpif5abiyb426r5egdmr2jvdveevdih4gib5uqxz2r5azc4i
Cricket,bafybeihdnmeqxk734v3j3ihjc67yl46azs5e5xsn4l2niqkfokbdt3ry3y
Pharmacy,bafkreica3f6wrfp2gn2lkdkuonzmhuvp5y4y5mtombsmgikxbu7p4ons6m
Baseball,bafybeiat7srngnhtm2wtuuuwr32mfjpe7d2hrzwjqtddi37djajh6vq2si
Nanotechnology,bafkreia7rlhabitm3dwwffk6fdukxtvqofoew554dah3k2k7aw33kbbphq
Olympics,bafkreiebmh2hd4wufmvjsmf25nqsfv26nhpljc2dg27obflrhn2pwgowqq
Robotics,bafkreihhxxmk7247qyhnbiiy7nz4g5ikxu7i5tufxo67ix4dkkqtqta7s4
Basketball,bafybeidifd5rlwhsgvmec6lp7tq75ut4dewrnkrt5gql3tdku5x6gv7ax4
Books,bafkreicpiiacnnnhfxdvxdh6i5pwr44y6gnwmuyxqijeuyz6z5kfim5sbe
Latin_America,bafybeigakdeepm5egrrt2b4ycqw27rko4jvhhdjmxzwqf6tyzxhgtnhcoi
Agriculture,bafybeibvu7brgdrhwtfb7mrkcmulcbm4jgdeszxytlvqqni5uknw56rlyq
Biology,bafkreibfasflwxed5wqcrgas2r2jqgbghmjxxlftmem4xzda57mqultdgq
Magic_(illusion),bafybeidu6325t2jiehsl7um2gc2thqpstcfwxxeiyjdfh52u6a6wv7gf2m
Association_football,bafybeidfsjiyb25bvqqvaa2km637dbbount23tqruedwyt46pts73w4o2m
Asia,bafybeifsp3h3ljosamcwkzsxpda4ztadnn6xgvwbjnzh2hbuc533vbksky
Physics,bafybeiakpywysfoqnlod4asnqind5vtlyp4yackgyr4znbm562q3mhoqjm
Europe,bafybeia5jruxqtd3faebltvehju5ydaa4tog7ewvibpvf6bnlk7jbbi2b4
Computer_science,bafkreihvrnp2g2q4plr77tngemqypa5eydahigrgtkcss77losq3t3qdka
Law,bafybeif2vlh7d47hdanh4dkdymumafvyxh6ohlvvaxvlijm5mv755qb3gy
