Original Link,Resolved CID
Biology,bafkreibfasflwxed5wqcrgas2r2jqgbghmjxxlftmem4xzda57mqultdgq
Cricket,bafybeihdnmeqxk734v3j3ihjc67yl46azs5e5xsn4l2niqkfokbdt3ry3y
Transport,bafybeiefovbxyr33vvfa7efvvyfvxzz3er5p24oyiipgzfy4motbmuxjky
Trains,bafkreigkjvrmz5i4ow6inhukrlfxpyj4poxl4t62azfuedrrgrv6hehwyq
Ancient_Greece,bafkreietwg7j53iwo6w66rafhsy6ugpazaosn3ulhuln5c7fybnv5kjuca
Baseball,bafybeiat7srngnhtm2wtuuuwr32mfjpe7d2hrzwjqtddi37djajh6vq2si
Nursing,bafkreiaug6l77k5mqdxth57fllg4yvp5zr35yldds2rgarrh2m7fpkabmu
Biography,bafkreiabbn4qbe6jnljoyb42j47px7jp53fh4pjflea42ndkhmm4gfl2ua
Association_football,bafybeidfsjiyb25bvqqvaa2km637dbbount23tqruedwyt46pts73w4o2m
Freedom_of_speech,bafkreidtopnb6ewmsmod7yttsvwjw2t7qbn4en6sxepodzxlampxv2uw4i
Literature,bafkreieqyzpyhffr662sosb76ipbhapkbgllwxqwj6nkcsnhqkohemyfz4
Sasanian_Empire,bafybeihucn3umbhdd4dehhn3lutldgzdnmjeqibxgdcnspq3h3nglyjtsi
Tennis,bafybeicnslg6qytlyu7begfitjzaq7qfuy5ptg5jpbzgo7dl2m73jqyjvm
Magic_(illusion),bafybeidu6325t2jiehsl7um2gc2thqpstcfwxxeiyjdfh52u6a6wv7gf2m
Pharmacy,bafkreica3f6wrfp2gn2lkdkuonzmhuvp5y4y5mtombsmgikxbu7p4ons6m
Philosophy_of_science,bafybeicece3sffaoqf7zrlsc6cs2iemsliqhijp2pcnnjgjhyq74htbfie
Mughal_Empire,bafybeicajacpwkchhbingxfifbjef34dmktlq53isb3t2ppus7dkwa45nm
North_China_Craton,bafybeicvs55vhrbhme35bvasnx7arjn6kwu2fo43h7ku5off7wseu4l5ju
Victoria_(Australia),bafkreieg3hqz5eif4wweojzp53ed4udesoxgfxlrfrrmd7s26zjjkom5ey
Water_scarcity,bafkreihbjfnyf32zhrgo3f6hq3kclwt3l4qd37v6om5caciorz7fjk56wa
Quaternary_extinction_event,bafybeiaxrcckfph6vqidt3oxnsgp2eun3w3podtr2gxd7e5rbfhx64mkqe
Tunis,bafybeic5izeiaucyglzaw4hrsk754jfpgq54t2ik5gf6xsoegppfw5abui
Gulf_of_Thailand,bafkreicgw7lishpfdvu7jy3noasutxgtnbvp72joe7mgy3zxzxgcozdwzi
Land_of_Israel,bafkreieuwg4csuwnsj2jmwuu2cdzveajswnc3gn67swa3qt2cradvlepbe
Greater_Khorasan,bafkreihyqu4f6lvhy5thxowcjlbnyyf2iru3stopsqcdagqdnqatpmabiu
South_Africa_national_cricket_team,bafkreieks5u7pjdyqeve2sdzfigfh3coibi72s7yts2xjuihi7xqk7p4ie
Bohol_Sea,bafkreidm6saj7vsq6umxckaqdu3xi3vvm4legxwdlczm46y2r6vvfpja2y
Commonwealth_(U.S._state),bafkreiaiuwqqxslmowzso3rcsa3i53l7rpv4neatnywsztg7eqhnoxarhq
Zouk_(musical_movement),bafkreigujl7zprhpykdjuzujm5ovygd4jbnsulfbpblmvc3utdxe4zuvqm
Greenland,bafybeibgk6ywpypzpi7pwwltroaddztekt7bt7p27icmio54fvnmy6oate
Transjordan_(region),bafkreic53mkjplweqh2vkfxrt3zowkbtdnm624jyv3z2rm4dxvtudqagxy
Yorke_and_Mid_North,bafkreiavx2wvvd5sw5g6ai3wecegn4asizm3gxxaj6orzl7hs3o2jgpkui
São_Tomé,bafkreigvnqh33afzubbh6m6hq47popsgajhavqd24b72p77v5aqvxdfhwa
Bengal,bafybeicbv72w3icwqzvmoynhvhhx7ubc4xfdtzyugxht2qidtgozcocrvu
Savu_Sea,bafkreihqasydtyejik5cxdqxbyxbeffqx2h3l26mspih7sewkkbkzjvdwu
Bangui,bafkreihzxfnzzlz3mxv77xjix5kl2xixmbkobannupjc34rl5jgdk735am
Frumentius,bafkreieg4nnnm6c4hatzp6glltdbwdojeu3vw4djihydg26glqlbtd2x44
World_Bank,bafkreiavkdxdmuudstqttwpoz3ztjxy5j5dex4qrd4qjjfmjroyemnm5se
List_of_African_countries_by_GDP_(nominal),bafkreieu66nwifpcyldngcjlyu4wc5bgkewdwahrfyua27afccavgws4qa
Northern_Territory,bafkreifn3akxtjf7p75b2sxtg635b5zsbe5viprotretik2pmaohkvxme4
Strait_of_Hormuz,bafkreigmw24vdk75nary7u7xaf52ujkkpfo6qbnigxxxiimznjidhpbwey
